Day,Time,Course,Instructor,Room
Monday,8:00-8:50,SC223,MKR,CEP-102
Monday,8:00-8:50,EL401,HSJ,CEP-103
Tuesday,8:00-8:50,CT509,YV,CEP-103
Tuesday,8:00-8:50,ED214,BM,CEP-104
Wednesday,8:00-8:50,CT303,MK2,CEP-102
Wednesday,8:00-8:50,HM404,VM,CEP-103
Thursday,8:00-8:50,IT304,PKS,CEP-102
Thursday,8:00-8:50,SC478,PR,CEP-103
Friday,8:00-8:50,IT216,RM,CEP-102
Friday,8:00-8:50,IE403,MK,CEP-103
